rendszám	jelszo
DRH-223	1997-DRH223-332300-B231866
JJR-128	2004-JJR128-198327-D814293
FHB-308	1997-FHB308-547066-D439698
HRB-085	2000-HRB085-846704-E991962
AWK-645	2007-AWK645-366097-E393437
UBA-995	2012-UBA995-671111-E900428
BLY-823	1998-BLY823-399943-D405017
CMT-528	2011-CMT528-270250-E024963
REI-370	2001-REI370-794039-E678767
OAD-450	1996-OAD450-606003-B945451
IJS-349	2002-IJS349-779160-B512286
OFH-018	2006-OFH018-272367-B022057
FPP-103	1996-FPP103-273073-E233175
SCV-284	1990-SCV284-995819-D661720
EDA-196	2005-EDA196-901547-B739516
MER-653	2011-MER653-287691-D521085
RMA-732	2008-RMA732-268663-B035408
PFK-201	2011-PFK201-078820-E627022
FUQ-905	2009-FUQ905-843191-E503558
IYC-837	2003-IYC837-359080-E902073
UJB-106	1991-UJB106-467207-B061502
QMG-916	1999-QMG916-537923-E402918
UEO-855	2001-UEO855-011138-E295357
ZAL-929	2002-ZAL929-846376-B385147
PNW-141	1998-PNW141-690812-E787627
VUI-400	2010-VUI400-430129-B884809
PMA-466	2004-PMA466-358328-D652155
UKG-840	2006-UKG840-892776-D433100
DWS-645	1999-DWS645-681129-E519625
RSK-236	2004-RSK236-998467-D212584
ULO-821	1996-ULO821-505114-E756532
IEH-007	1995-IEH007-670732-E207694
PXG-707	1984-PXG707-035271-D933868
WTH-086	2008-WTH086-817886-D647064
BSI-326	2009-BSI326-896663-D184359
RWL-745	2002-RWL745-614548-D214151
FZR-840	1989-FZR840-813634-D662542
NIL-441	2006-NIL441-314994-D998283
WTM-713	1996-WTM713-427885-B517548
MWE-403	2001-MWE403-253982-D871579
VEW-705	2006-VEW705-280918-D606517
GWR-575	2009-GWR575-085047-D414120
VEG-379	2003-VEG379-164177-E649405
QFK-410	2004-QFK410-178005-E217216
FQH-552	1998-FQH552-100643-D371650
IEC-383	2002-IEC383-031144-D904228
AUN-064	1994-AUN064-123051-B133528
LHL-034	1984-LHL034-299229-D155353
NOK-523	1993-NOK523-527608-D683508
NDJ-966	2002-NDJ966-502203-D306286
OZM-385	2001-OZM385-459755-E022006
AVC-037	2007-AVC037-786640-D541409
LRU-528	1994-LRU528-725246-E675448
XLE-706	1998-XLE706-442457-E527841
XNQ-738	1997-XNQ738-067494-E838411
VYL-623	1989-VYL623-281160-D388867
ITL-478	2008-ITL478-966954-E514256
UET-032	2000-UET032-062367-D831392
XGN-241	2002-XGN241-602878-B634738
KKB-142	1994-KKB142-883017-E504150
MFN-479	1995-MFN479-109052-D672865
YXD-508	2002-YXD508-814385-D146173
TGP-663	1997-TGP663-143036-D890640
MTO-626	1996-MTO626-686821-B085138
WKX-220	2011-WKX220-340821-D866981
RZN-288	1987-RZN288-851834-B461912
NVJ-655	1993-NVJ655-786016-D814869
UDY-907	2004-UDY907-239904-B328474
KNX-984	1993-KNX984-604449-B626138
MVT-494	2008-MVT494-759452-E630548
FWY-045	2007-FWY045-677879-E279855
SPM-883	2006-SPM883-309783-B929987
SVF-007	2009-SVF007-138542-E803731
BAY-647	2012-BAY647-480148-D999470
EWP-142	2008-EWP142-636436-B448054
AIP-773	2008-AIP773-485006-D843035
MSG-266	1996-MSG266-270838-D899718
KMH-078	1993-KMH078-542574-D579323
CRK-196	1997-CRK196-927665-E923813
JXG-516	1961-JXG516-739470-E497135
EKQ-780	1997-EKQ780-725323-E862612
EHL-662	1999-EHL662-765239-B989205
QNN-150	1995-QNN150-795757-B486577
MTO-051	1967-MTO051-029118-D802176
PGC-795	1999-PGC795-819258-D091759
MAL-876	2009-MAL876-419307-B166413
UAZ-075	1989-UAZ075-152483-E995001
MXE-381	2004-MXE381-639408-B368058
YOP-119	1998-YOP119-332016-B846099
VAH-584	2013-VAH584-935627-E915321
INM-142	2011-INM142-016983-B726132
JRM-405	1996-JRM405-042204-E710805
LWH-887	2005-LWH887-907210-E513998
MGT-307	1998-MGT307-191021-D893478
IRK-154	2004-IRK154-223078-B261427
